date,open,close,high,low,volume
2021-11-02,4886.18,4839.85,4911.23,4797.9,18543.77
2021-11-03,4835.81,4821.11,4858.71,4804.37,14276.38
2021-11-04,4841.09,4868.74,4873.94,4834.74,13259.3
2021-11-05,4858.9,4842.35,4889.68,4841.74,14778.94
2021-11-08,4841.15,4848.18,4866.08,4827.69,13739.83
2021-11-09,4858.25,4846.74,4870.79,4818.54,11837.55
2021-11-10,4832.8,4821.19,4832.8,4754.0,13511.82
2021-11-11,4814.77,4898.65,4898.65,4809.11,16048.49
2021-11-12,4902.93,4888.37,4909.08,4875.35,13266.3
2021-11-15,4894.41,4882.38,4906.33,4863.4,12182.31
2021-11-16,4880.9,4883.32,4915.37,4876.5,12725.44
2021-11-17,4883.25,4885.75,4891.52,4864.52,10845.92
2021-11-18,4871.42,4837.62,4871.42,4830.41,11448.06
2021-11-19,4832.06,4890.06,4892.81,4829.57,12719.83
2021-11-22,4895.39,4912.4,4919.0,4893.27,13809.28
2021-11-23,4905.76,4913.35,4927.52,4896.88,15430.44
